mem: 94087967427974, val: 0
mem: 94087967427973, val: 85
mem: 94087967427972, val: 146
mem: 94087967427971, val: 143
mem: 94087967427970, val: 224
mem: 94087967427969, val: 78
mem: 94087967427968, val: 0
mem: 94087967427967, val: 0
mem: 94087967427966, val: 0
mem: 94087967427965, val: 0
mem: 94087967427964, val: 0
mem: 94087967427963, val: 0
mem: 94087967427962, val: 0
mem: 94087967427961, val: 0
mem: 94087967427960, val: 9
mem: 94087967427959, val: 0
mem: 94087967427958, val: 0
mem: 94087967427957, val: 0
mem: 94087967427956, val: 0
mem: 94087967427955, val: 0
mem: 94087967427954, val: 0
mem: 94087967427953, val: 0
mem: 94087967427952, val: 0
mem: 94087967427951, val: 0
mem: 94087967427950, val: 0
mem: 94087967427949, val: 0
mem: 94087967427948, val: 0
mem: 94087967427947, val: 0
mem: 94087967427946, val: 0
mem: 94087967427945, val: 0
mem: 94087967427944, val: 10
mem: 94087967427943, val: 0
mem: 94087967427942, val: 0
mem: 94087967427941, val: 0
mem: 94087967427940, val: 0
mem: 94087967427939, val: 0
mem: 94087967427938, val: 0
mem: 94087967427937, val: 0
mem: 94087967427936, val: 0
mem: 94087967427935, val: 0
mem: 94087967427934, val: 0
mem: 94087967427933, val: 85
mem: 94087967427932, val: 146
mem: 94087967427931, val: 143
mem: 94087967427930, val: 73
mem: 94087967427929, val: 15
mem: 94087967427928, val: 184
mem: 94087967427927, val: 0
mem: 94087967427926, val: 0
mem: 94087967427925, val: 0
mem: 94087967427924, val: 0
mem: 94087967427923, val: 0
mem: 94087967427922, val: 0
mem: 94087967427921, val: 0
mem: 94087967427920, val: 10
mem: 94087967427919, val: 0
mem: 94087967427918, val: 0
mem: 94087967427917, val: 85
mem: 94087967427916, val: 146
mem: 94087967427915, val: 143
mem: 94087967427914, val: 71
mem: 94087967427913, val: 226
mem: 94087967427912, val: 188
mem: 94087967427911, val: 0
mem: 94087967427910, val: 0
mem: 94087967427909, val: 0
mem: 94087967427908, val: 0
mem: 94087967427907, val: 0
mem: 94087967427906, val: 0
mem: 94087967427905, val: 0
mem: 94087967427904, val: 7
mem: 94087967427903, val: 0
mem: 94087967427902, val: 0
mem: 94087967427901, val: 85
mem: 94087967427900, val: 146
mem: 94087967427899, val: 143
mem: 94087967427898, val: 72
mem: 94087967427897, val: 50
mem: 94087967427896, val: 161
mem: 94087967427895, val: 0
mem: 94087967427894, val: 0
mem: 94087967427893, val: 0
mem: 94087967427892, val: 0
mem: 94087967427891, val: 0
mem: 94087967427890, val: 0
mem: 94087967427889, val: 0
mem: 94087967427888, val: 7
mem: 94087967427887, val: 0
mem: 94087967427886, val: 0
mem: 94087967427885, val: 85
mem: 94087967427884, val: 146
mem: 94087967427883, val: 143
mem: 94087967427882, val: 72
mem: 94087967427881, val: 50
mem: 94087967427880, val: 161
mem: 94087967427879, val: 0
mem: 94087967427878, val: 0
mem: 94087967427877, val: 127
mem: 94087967427876, val: 252
mem: 94087967427875, val: 133
mem: 94087967427874, val: 155
mem: 94087967427873, val: 80
mem: 94087967427872, val: 0
mem: 94087967427871, val: 0
mem: 94087967427870, val: 0
mem: 94087967427869, val: 85
mem: 94087967427868, val: 146
mem: 94087967427867, val: 143
mem: 94087967427866, val: 72
mem: 94087967427865, val: 30
mem: 94087967427864, val: 81
mem: 94087967427863, val: 0
mem: 94087967427862, val: 0
mem: 94087967427861, val: 0
mem: 94087967427860, val: 0
mem: 94087967427859, val: 0
mem: 94087967427858, val: 0
mem: 94087967427857, val: 0
mem: 94087967427856, val: 7
mem: 94087967427855, val: 0
mem: 94087967427854, val: 0
mem: 94087967427853, val: 85
mem: 94087967427852, val: 146
mem: 94087967427851, val: 143
mem: 94087967427850, val: 72
mem: 94087967427849, val: 50
mem: 94087967427848, val: 161
mem: 94087967427847, val: 0
mem: 94087967427846, val: 0
mem: 94087967427845, val: 85
mem: 94087967427844, val: 146
mem: 94087967427843, val: 143
mem: 94087967427842, val: 224
mem: 94087967427841, val: 78
mem: 94087967427840, val: 0
mem: 94087967427839, val: 0
mem: 94087967427838, val: 0
mem: 94087967427837, val: 85
mem: 94087967427836, val: 146
mem: 94087967427835, val: 143
mem: 94087967427834, val: 224
mem: 94087967427833, val: 77
mem: 94087967427832, val: 58
mem: 94087967427831, val: 0
mem: 94087967427830, val: 0
mem: 94087967427829, val: 0
mem: 94087967427828, val: 0
mem: 94087967427827, val: 0
mem: 94087967427826, val: 0
mem: 94087967427825, val: 0
mem: 94087967427824, val: 2
mem: 94087967427823, val: 0
mem: 94087967427822, val: 0
mem: 94087967427821, val: 0
mem: 94087967427820, val: 0
mem: 94087967427819, val: 0
